"car_ID","symboling","wheelbase","carlength","carwidth","carheight","curbweight","enginesize","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price"
"0","3","88.6","168.8","64.1","48.8","2548","130","3.47","2.68","9","111","5000","21","27","13495.6"
"1","3","88.6","168.8","64.1","48.8","2548","130","3.47","2.68","9","111","5000","21","27","16500.1"
"2","1","94.5","171.2","65.5","52.4","2823","152","2.68","3.47","9","154","5000","19","26","16500.7"
"3","2","99.8","176.6","66.2","54.3","2337","109","3.19","3.4","10","102","5500","24","30","13950.2"
"4","2","99.4","176.6","66.4","54.3","2824","136","3.19","3.4","8","115","5500","18","22","17450.8"
"5","2","99.8","177.3","66.3","53.1","2507","136","3.19","3.4","8.5","110","5500","19","25","15250.7"
"6","1","105.8","192.7","71.4","55.7","2844","136","3.19","3.4","8.5","110","5500","19","25","17710.14"
"7","1","105.8","192.7","71.4","55.7","2954","136","3.19","3.4","8.5","110","5500","19","25","18920.5"
"8","1","105.8","192.7","71.4","55.9","3086","131","3.13","3.4","8.3","140","5500","17","20","23875.7"
"9","0","99.5","178.2","67.9","52","3053","131","3.13","3.4","7","160","5500","16","22","17859.167"
"10","2","101.2","176.8","64.8","54.3","2395","108","3.5","2.8","8.8","101","5800","23","29","16430.3"
"11","0","101.2","176.8","64.8","54.3","2395","108","3.5","2.8","8.8","101","5800","23","29","16925.8"
"12","0","101.2","176.8","64.8","54.3","2710","164","3.31","3.19","9","121","4250","21","28","20970.8"
"13","0","101.2","176.8","64.8","54.3","2765","164","3.31","3.19","9","121","4250","21","28","21105.7"
"14","1","103.5","189","66.9","55.7","3055","164","3.31","3.19","9","121","4250","20","25","24565.4"
"15","0","103.5","189","66.9","55.7","3230","209","3.62","3.39","8","182","5400","16","22","30760.3"
"18","2","88.4","141.1","60.3","53.2","1488","61","2.91","3.03","9.5","48","5100","47","53","5151.4"
"19","1","94.5","155.9","63.6","52","1874","90","3.03","3.11","9.6","70","5400","38","43","6295.8"
"20","0","94.5","158.8","63.6","52","1909","90","3.03","3.11","9.6","70","5400","38","43","6575.9"
"21","1","93.7","157.3","63.8","50.8","1876","90","2.97","3.23","9.41","68","5500","37","41","5572.1"
"22","1","93.7","157.3","63.8","50.8","1876","90","2.97","3.23","9.4","68","5500","31","38","6377.7"
"23","1","93.7","157.3","63.8","50.8","2128","98","3.03","3.39","7.6","102","5500","24","30","7957.7"
"24","1","93.7","157.3","63.8","50.6","1967","90","2.97","3.23","9.4","68","5500","31","38","6229.6"
"25","1","93.7","157.3","63.8","50.6","1989","90","2.97","3.23","9.4","68","5500","31","38","6692.7"
"26","1","93.7","157.3","63.8","50.6","1989","90","2.97","3.23","9.4","68","5500","31","38","7609.7"
"27","1","93.7","157.3","63.8","50.6","2191","98","3.03","3.39","7.6","102","5500","24","30","8558.7"
"28","-1","103.3","174.6","64.6","59.8","2535","122","3.34","3.46","8.5","88","5000","24","30","8921.1"
"29","3","95.9","173.2","66.3","50.2","2811","156","3.6","3.9","7","145","5000","19","24","12964.2"
"30","2","86.6","144.6","63.9","50.8","1713","92","2.91","3.41","9.6","58","4800","49","54","6479.2"
"31","2","86.6","144.6","63.9","50.8","1819","92","2.91","3.41","9.2","76","6000","31","38","6855.55"
"32","1","93.7","150","64","52.6","1837","79","2.91","3.07","10.1","60","5500","38","42","5399.6"
"33","1","93.7","150","64","52.6","1940","92","2.91","3.41","9.2","76","6000","30","34","6529.6"
"34","1","93.7","150","64","52.6","1956","92","2.91","3.41","9.2","76","6000","30","34","7129.7"
"35","0","96.5","163.4","64","54.5","2010","92","2.91","3.41","9.2","76","6000","30","34","7295.7"
"36","0","96.5","157.1","63.9","58.3","2024","92","2.92","3.41","9.2","76","6000","30","34","7295.5"
"37","0","96.5","167.5","65.2","53.3","2236","110","3.15","3.58","9","86","5800","27","33","7895.22"
"38","0","96.5","167.5","65.2","53.3","2289","110","3.15","3.58","9","86","5800","27","33","9095.44"
"39","0","96.5","175.4","65.2","54.1","2304","110","3.15","3.58","9","86","5800","27","33","8845.15"
"40","0","96.5","175.4","62.5","54.1","2372","110","3.15","3.58","9","86","5800","27","33","10295.13"
"41","0","96.5","175.4","65.2","54.1","2465","110","3.15","3.58","9","101","5800","24","28","12945.33"
"42","1","96.5","169.1","66","51","2293","110","3.15","3.58","9.1","100","5500","25","31","10345.5"
"43","0","94.3","170.7","61.8","53.5","2337","111","3.31","3.23","8.5","78","4800","24","29","6785.5"
"44","1","94.5","155.9","63.6","52","1874","90","3.03","3.11","9.6","70","5400","38","43","8916.5"
"45","0","94.5","155.9","63.6","52","1909","90","3.03","3.11","9.6","70","5400","38","43","8916.5"
"46","2","96","172.6","65.2","51.4","2734","119","3.43","3.23","9.2","90","5000","24","29","11048.3"
"47","0","113","199.6","69.6","52.8","4066","258","3.63","4.17","8.1","176","4750","15","19","32250.3"
"48","0","113","199.6","69.6","52.8","4066","258","3.63","4.17","8.1","176","4750","15","19","35550.3"
"49","0","102","191.7","70.6","47.8","3950","326","3.54","2.76","11.5","262","5000","13","17","36000.3"
"50","1","93.1","159.1","64.2","54.1","1890","91","3.03","3.15","9","68","5000","30","31","5195.3"
"51","1","93.1","159.1","64.2","54.1","1900","91","3.03","3.15","9","68","5000","31","38","6095.4"
"52","1","93.1","159.1","64.2","54.1","1905","91","3.03","3.15","9","68","5000","31","38","6795.4"
"53","1","93.1","166.8","64.2","54.1","1945","91","3.03","3.15","9","68","5000","31","38","6695.44"
"54","1","93.1","166.8","64.2","54.1","1950","91","3.08","3.15","9","68","5000","31","38","7395.5"
"55","3","95.3","169","65.7","49.6","2380","70","3.33","3.255","9.4","101","6000","17","23","10945.6"
"56","3","95.3","169","65.7","49.6","2380","70","3.33","3.255","9.4","101","6000","17","23","11845.7"
"57","3","95.3","169","65.7","49.6","2385","70","3.33","3.255","9.4","101","6000","17","23","13645.7"
"58","3","95.3","169","65.7","49.6","2500","80","3.33","3.255","9.4","135","6000","16","23","15645.9"
"59","1","98.8","177.8","66.5","53.7","2385","122","3.39","3.39","8.6","84","4800","26","32","8845.88"
"60","0","98.8","177.8","66.5","55.5","2410","122","3.39","3.39","8.6","84","4800","26","32","8495.4"
"61","1","98.8","177.8","66.5","53.7","2385","122","3.39","3.39","8.6","84","4800","26","32","10595.12"
"62","0","98.8","177.8","66.5","55.5","2410","122","3.39","3.39","8.6","84","4800","26","32","10245.33"
"64","0","98.8","177.8","66.5","55.5","2425","122","3.39","3.39","8.6","84","4800","26","32","11245.47"
"65","0","104.9","175","66.1","54.4","2670","140","3.76","3.16","8","120","5000","19","27","18280.22"
"70","-1","115.6","202.6","71.7","56.3","3770","183","3.58","3.64","21.5","123","4350","22","25","31600.33"
"72","3","96.6","180.3","70.5","50.8","3685","234","3.46","3.1","8.3","155","4750","16","18","35056.6"
"73","0","120.9","208.1","71.7","56.7","3900","308","3.8","3.35","8","184","4500","14","16","40960.7"
"74","1","112","199.2","72","55.4","3715","304","3.8","3.35","8","184","4500","14","16","45400.7"
"75","1","102.7","178.4","68","54.8","2910","140","3.78","3.12","8","175","5000","19","24","16503.7"
"76","2","93.7","157.3","64.4","50.8","1918","92","2.97","3.23","9.4","68","5500","37","41","5389.7"
"77","2","93.7","157.3","64.4","50.8","1944","92","2.97","3.23","9.4","68","5500","31","38","6189.8"
"78","2","93.7","157.3","64.4","50.8","2004","92","2.97","3.23","9.4","68","5500","31","38","6669.8"
"79","1","93","157.3","63.8","50.8","2145","98","3.03","3.39","7.6","102","5500","24","30","7689.3"
"80","3","96.3","173","65.4","49.4","2370","110","3.17","3.46","7.5","116","5500","23","30","9959.3"
"81","3","96.3","173","65.4","49.4","2328","122","3.35","3.46","8.5","88","5000","25","32","8499.3"
"82","3","95.9","173.2","66.3","50.2","2833","156","3.58","3.86","7","145","5000","19","24","12629.3"
"83","3","95.9","173.2","66.3","50.2","2921","156","3.59","3.86","7","145","5000","19","24","14869.4"
"84","3","95.9","173.2","66.3","50.2","2926","156","3.59","3.86","7","145","5000","19","24","14489.4"
"85","1","96.3","172.4","65.4","51.6","2365","122","3.35","3.46","8.5","88","5000","25","32","6989.4"
"86","1","96.3","172.4","65.4","51.6","2405","122","3.35","3.46","8.5","88","5000","25","32","8189.4"
"87","1","96.3","172.4","65.4","51.6","2403","110","3.17","3.46","7.5","116","5500","23","30","9279.4"
"88","-1","96.3","172.4","65.4","51.6","2403","110","3.17","3.46","7.5","116","5500","23","30","9279.4"
"89","1","94.5","165.3","63.8","54.5","1889","97","3.15","3.29","9.4","69","5200","31","37","5499.4"
"90","1","94.5","165.3","63.8","54.5","2017","103","2.99","3.47","21.9","55","4800","45","50","7099.5"
"91","1","94.5","165.3","63.8","54.5","1918","97","3.15","3.29","9.4","69","5200","31","37","6649.5"
"92","1","94.5","165.3","63.8","54.5","1938","97","3.15","3.29","9.4","69","5200","31","37","6849.5"
"93","1","94.5","170.2","63.8","53.5","2024","97","3.15","3.29","9.4","69","5200","31","37","7349.5"
"94","1","94.5","165.3","63.8","54.5","1951","97","3.15","3.29","9.4","69","5200","31","37","7299.5"
"95","1","94.5","165.6","63.8","53.3","2028","97","3.15","3.29","9.4","69","5200","31","37","7799.5"
"96","1","94.5","165.3","63.8","54.5","1971","97","3.15","3.29","9.4","69","5200","31","37","7499.5"
"97","1","94.5","170.2","63.8","53.5","2037","97","3.15","3.29","9.4","69","5200","31","37","7999.5"
"98","2","95.1","162.4","63.8","53.3","2008","97","3.15","3.29","9.4","69","5200","31","37","8249.3"
"99","0","97.2","173.4","65.2","54.7","2324","120","3.33","3.47","8.5","97","5200","27","34","8949.3"
"100","0","97.2","173.4","65.2","54.7","2302","120","3.33","3.47","8.5","97","5200","27","34","9549.3"
"101","0","100.4","181.7","66.5","55.1","3095","181","3.43","3.27","9","152","5200","17","22","13499.3"
"102","0","100.4","184.6","66.5","56.1","3296","181","3.43","3.27","9","152","5200","17","22","14399.3"
"103","0","100.4","184.6","66.5","55.1","3060","181","3.43","3.27","9","152","5200","19","25","13499.7"
"104","3","91.3","170.7","67.9","49.7","3071","181","3.43","3.27","9","160","5200","19","25","17199.7"
"105","3","91.3","170.7","67.9","49.7","3139","181","3.43","3.27","7.8","200","5200","17","23","19699.7"
"106","1","99.2","178.5","67.9","49.7","3139","181","3.43","3.27","9","160","5200","19","25","18399.7"
"107","0","107.9","186.7","68.4","56.7","3020","120","3.46","3.19","8.4","97","5000","19","24","11900.7"
"109","0","114.2","198.9","68.4","58.7","3230","120","3.46","3.19","8.4","97","5000","19","24","12440.1"
"115","0","107.9","186.7","68.4","56.7","3075","120","3.46","3.19","8.4","97","5000","19","24","16630.7"
"117","0","108","186.7","68.3","56","3130","134","3.61","3.21","7","142","5600","18","24","18150.7"
"118","1","93.7","157.3","63.8","50.8","1918","90","2.97","3.23","9.4","68","5500","37","41","5572.8"
"119","1","93.7","157.3","63.8","50.8","2128","98","3.03","3.39","7.6","102","5500","24","30","7957.6"
"120","1","93.7","157.3","63.8","50.6","1967","90","2.97","3.23","9.4","68","5500","31","38","6229.3"
"121","1","93.7","167.3","63.8","50.8","1989","90","2.97","3.23","9.4","68","5500","31","38","6692.1"
"122","1","93.7","167.3","63.8","50.8","2191","98","2.97","3.23","9.4","68","5500","31","38","7609.2"
"123","-1","103.3","174.6","64.6","59.8","2535","122","3.35","3.46","8.5","88","5000","24","30","8921.2"
"124","3","95.9","173.2","66.3","50.2","2818","156","3.59","3.86","7","145","5000","19","24","12764.2"
"125","3","94.5","168.9","68.3","50.2","2778","151","3.94","3.11","9.5","143","5500","19","27","22018.2"
"126","3","89.5","168.9","65","51.6","2756","194","3.74","2.9","9.5","207","5900","17","25","32528.2"
"127","3","89.5","168.9","65","51.6","2756","194","3.74","2.9","9.5","207","5900","17","25","34028.2"
"129","1","98.4","175.7","72.3","50.5","3366","203","3.94","3.11","10","288","5750","17","28","31400.5"
"130","0","96.1","181.5","66.5","55.2","2579","132","3.46","3.9","8.7","90","5100","23","31","9295.9"
"131","2","96.1","176.8","66.6","50.5","2460","132","3.46","3.9","8.7","90","5100","23","31","9895.8"
"132","3","99.1","186.6","66.5","56.1","2658","121","3.54","3.07","9.31","110","5250","21","28","11850.7"
"133","2","99.1","186.6","66.5","56.1","2695","121","3.54","3.07","9.3","110","5250","21","28","12170.8"
"134","3","99.1","186.6","66.5","56.1","2707","121","2.54","2.07","9.3","110","5250","21","28","15040.3"
"135","2","99.1","186.6","66.5","56.1","2758","121","3.54","3.07","9.3","110","5250","21","28","15510.3"
"136","3","99.1","186.6","66.5","56.1","2808","121","3.54","3.07","9","160","5500","19","26","18150.4"
"137","2","99.1","186.6","66.5","56.1","2847","121","3.54","3.07","9","160","5500","19","26","18620.4"
"139","2","93.7","157.9","63.6","53.7","2120","108","3.62","2.64","8.7","73","4400","26","31","7053.2"
"140","2","93.3","157.3","63.8","55.7","2240","108","3.62","2.64","8.7","73","4400","26","31","7603.3"
"141","0","97.2","172","65.4","52.5","2145","108","3.62","2.64","9.5","82","4800","32","37","7126.3"
"142","0","97.2","172","65.4","52.5","2190","108","3.62","2.64","9.5","82","4400","28","33","7775.3"
"143","0","97.2","172","65.4","52.5","2340","108","3.62","2.64","9","94","5200","26","32","9960.4"
"144","0","97","172","65.4","54.3","2385","108","3.62","2.64","9","82","4800","24","25","9233.5"
"145","0","97","172","65.4","54.3","2510","108","3.62","2.64","7.7","111","4800","24","29","11259.5"
"146","0","97","173.5","65.4","53","2290","108","3.62","2.64","9","82","4800","28","32","7463.5"
"147","0","97","173.5","65.4","53","2455","108","3.62","2.64","9","94","5200","25","31","10198.5"
"148","0","96.9","173.6","65.4","54.9","2420","108","3.62","2.64","9","82","4800","23","29","8013.5"
"149","0","96.9","173.6","65.4","54.9","2650","108","3.62","2.64","7.7","111","4800","23","23","11694.5"
"150","1","95.7","158.7","63.6","54.5","1985","92","3.05","3.03","9","62","4800","35","39","5348.8"
"151","1","95.7","158.7","63.6","54.5","2040","92","3.05","3.03","9","62","4800","31","38","6338.9"
"152","1","95.7","158.7","63.6","54.5","2015","92","3.05","3.03","9","62","4800","31","38","6488.9"
"153","0","95.7","169.7","63.6","59.1","2280","92","3.05","3.03","9","62","4800","31","37","6918.9"
"154","0","95.7","169.7","63.6","59.1","2290","92","3.05","3.03","9","62","4800","27","32","7898.6"
"155","0","95.7","169.7","63.6","59.1","3110","92","3.05","3.03","9","62","4800","27","32","8778.6"
"156","0","95.7","166.3","64.4","53","2081","98","3.19","3.03","9","70","4800","30","37","6938.6"
"157","1","94.5","168.7","64","52.6","2169","98","3.19","3.03","9","70","4800","29","34","8058.6"
"158","1","94.5","168.7","64","52.6","2204","98","3.19","3.03","9","70","4800","29","34","8238.6"
"161","2","98.4","176.2","65.6","52","2540","146","3.62","3.5","9.3","116","4800","24","30","8449.6"
"162","2","98.4","176.2","65.6","52","2536","146","3.62","3.5","9.3","116","4800","24","30","9639"
"163","2","98.4","176.2","65.6","52","2551","146","3.62","3.5","9.3","116","4800","24","30","9989.2"
"164","2","98.4","176.2","65.6","52","2679","146","3.62","3.5","9.3","116","4800","24","30","11199.2"
"165","2","98.4","176.2","65.6","52","2714","146","3.62","3.5","9.3","116","4800","24","30","11549.2"
"166","2","98.4","176.2","65.6","53","2975","146","3.62","3.5","9.3","116","4800","24","30","17669.2"
"167","-1","102.4","175.6","66.5","54.9","2326","122","3.31","3.54","8.7","92","4200","29","34","8948.2"
"169","-1","102.4","175.6","66.5","53.9","2414","122","3.31","3.54","8.7","92","4200","27","32","9988.3"
"170","-1","102.4","175.6","66.5","54.9","2414","122","3.31","3.54","8.7","92","4200","27","32","10898.3"
"171","-1","102.4","175.6","66.5","53.9","2458","122","3.31","3.54","8.7","92","4200","27","32","11248.3"
"172","3","102.9","183.5","67.7","52","2976","171","3.27","3.35","9.3","161","5200","20","24","16558.3"
"173","3","102.9","183.5","67.7","52","3016","171","3.27","3.35","9.3","161","5200","19","24","15998.3"
"174","-1","104.5","187.8","66.5","54.1","3131","171","3.27","3.35","9.2","156","5200","20","24","15690.3"
"175","-1","104.5","187.8","66.5","54.1","3151","161","3.27","3.35","9.2","156","5200","19","24","15750.5"
"177","2","97.3","171.7","65.5","55.7","2209","109","3.19","3.4","9","85","5250","27","34","7975.5"
"178","3","94.5","159.3","64.2","55.6","2254","109","3.19","3.4","8.5","90","5500","24","29","11595.5"
"179","3","94.5","165.7","64","51.4","2221","109","3.19","3.4","8.5","90","5500","24","29","9980.5"
